# Lithography Source Distribution
# wavelength_nm = 13.500
# NA            = 0.33
# sigma_outer   = 0.8
# sigma_inner   = 0.55
# source_type   = annular
# grid_N        = 256
# dx_nm         = 4.000
# df_per_nm     = 9.765625e-04
# total_points  = 664
# norm_conv     : sigma_x = fx_per_nm / (NA/wavelength)
# intensity_sum = 1.000000  (should be 1.0)
sigma_x,sigma_y,rho,phi_deg,fx_per_nm,fy_per_nm,intensity
-0.759055,-0.039950,0.760106,-176.9872,-1.855469e-02,-9.765625e-04,1.50602410e-03
-0.719105,-0.039950,0.720214,-176.8202,-1.757812e-02,-9.765625e-04,1.50602410e-03
-0.679155,-0.039950,0.680329,-176.6335,-1.660156e-02,-9.765625e-04,1.50602410e-03
-0.639205,-0.039950,0.640452,-176.4237,-1.562500e-02,-9.765625e-04,1.50602410e-03
-0.599254,-0.039950,0.600584,-176.1859,-1.464844e-02,-9.765625e-04,1.50602410e-03
-0.559304,-0.039950,0.560729,-175.9144,-1.367188e-02,-9.765625e-04,1.50602410e-03
0.559304,-0.039950,0.560729,-4.0856,1.367188e-02,-9.765625e-04,1.50602410e-03
0.599254,-0.039950,0.600584,-3.8141,1.464844e-02,-9.765625e-04,1.50602410e-03
0.639205,-0.039950,0.640452,-3.5763,1.562500e-02,-9.765625e-04,1.50602410e-03
0.679155,-0.039950,0.680329,-3.3665,1.660156e-02,-9.765625e-04,1.50602410e-03
0.719105,-0.039950,0.720214,-3.1798,1.757812e-02,-9.765625e-04,1.50602410e-03
0.759055,-0.039950,0.760106,-3.0128,1.855469e-02,-9.765625e-04,1.50602410e-03
-0.799006,0.000000,0.799006,180.0000,-1.953125e-02,0.000000e+00,1.50602410e-03
-0.759055,0.000000,0.759055,180.0000,-1.855469e-02,0.000000e+00,1.50602410e-03
-0.719105,0.000000,0.719105,180.0000,-1.757812e-02,0.000000e+00,1.50602410e-03
-0.679155,0.000000,0.679155,180.0000,-1.660156e-02,0.000000e+00,1.50602410e-03
-0.639205,0.000000,0.639205,180.0000,-1.562500e-02,0.000000e+00,1.50602410e-03
-0.599254,0.000000,0.599254,180.0000,-1.464844e-02,0.000000e+00,1.50602410e-03
-0.559304,0.000000,0.559304,180.0000,-1.367188e-02,0.000000e+00,1.50602410e-03
0.559304,0.000000,0.559304,0.0000,1.367188e-02,0.000000e+00,1.50602410e-03
0.599254,0.000000,0.599254,0.0000,1.464844e-02,0.000000e+00,1.50602410e-03
0.639205,0.000000,0.639205,0.0000,1.562500e-02,0.000000e+00,1.50602410e-03
0.679155,0.000000,0.679155,0.0000,1.660156e-02,0.000000e+00,1.50602410e-03
0.719105,0.000000,0.719105,0.0000,1.757812e-02,0.000000e+00,1.50602410e-03
0.759055,0.000000,0.759055,0.0000,1.855469e-02,0.000000e+00,1.50602410e-03
0.799006,0.000000,0.799006,0.0000,1.953125e-02,0.000000e+00,1.50602410e-03
-0.759055,0.039950,0.760106,176.9872,-1.855469e-02,9.765625e-04,1.50602410e-03
-0.719105,0.039950,0.720214,176.8202,-1.757812e-02,9.765625e-04,1.50602410e-03
-0.679155,0.039950,0.680329,176.6335,-1.660156e-02,9.765625e-04,1.50602410e-03
-0.639205,0.039950,0.640452,176.4237,-1.562500e-02,9.765625e-04,1.50602410e-03
-0.599254,0.039950,0.600584,176.1859,-1.464844e-02,9.765625e-04,1.50602410e-03
-0.559304,0.039950,0.560729,175.9144,-1.367188e-02,9.765625e-04,1.50602410e-03
0.559304,0.039950,0.560729,4.0856,1.367188e-02,9.765625e-04,1.50602410e-03
0.599254,0.039950,0.600584,3.8141,1.464844e-02,9.765625e-04,1.50602410e-03
0.639205,0.039950,0.640452,3.5763,1.562500e-02,9.765625e-04,1.50602410e-03
0.679155,0.039950,0.680329,3.3665,1.660156e-02,9.765625e-04,1.50602410e-03
0.719105,0.039950,0.720214,3.1798,1.757812e-02,9.765625e-04,1.50602410e-03
0.759055,0.039950,0.760106,3.0128,1.855469e-02,9.765625e-04,1.50602410e-03
-0.759055,0.079901,0.763249,173.9910,-1.855469e-02,1.953125e-03,1.50602410e-03
-0.719105,0.079901,0.723530,173.6598,-1.757812e-02,1.953125e-03,1.50602410e-03
-0.679155,0.079901,0.683839,173.2902,-1.660156e-02,1.953125e-03,1.50602410e-03
-0.639205,0.079901,0.644179,172.8750,-1.562500e-02,1.953125e-03,1.50602410e-03
-0.599254,0.079901,0.604557,172.4054,-1.464844e-02,1.953125e-03,1.50602410e-03
-0.559304,0.079901,0.564982,171.8699,-1.367188e-02,1.953125e-03,1.50602410e-03
0.559304,0.079901,0.564982,8.1301,1.367188e-02,1.953125e-03,1.50602410e-03
0.599254,0.079901,0.604557,7.5946,1.464844e-02,1.953125e-03,1.50602410e-03
0.639205,0.079901,0.644179,7.1250,1.562500e-02,1.953125e-03,1.50602410e-03
0.679155,0.079901,0.683839,6.7098,1.660156e-02,1.953125e-03,1.50602410e-03
0.719105,0.079901,0.723530,6.3402,1.757812e-02,1.953125e-03,1.50602410e-03
0.759055,0.079901,0.763249,6.0090,1.855469e-02,1.953125e-03,1.50602410e-03
-0.759055,0.119851,0.768459,171.0274,-1.855469e-02,2.929688e-03,1.50602410e-03
-0.719105,0.119851,0.729024,170.5377,-1.757812e-02,2.929688e-03,1.50602410e-03
-0.679155,0.119851,0.689649,169.9920,-1.660156e-02,2.929688e-03,1.50602410e-03
-0.639205,0.119851,0.650344,169.3803,-1.562500e-02,2.929688e-03,1.50602410e-03
-0.599254,0.119851,0.611122,168.6901,-1.464844e-02,2.929688e-03,1.50602410e-03
-0.559304,0.119851,0.572001,167.9052,-1.367188e-02,2.929688e-03,1.50602410e-03
0.559304,0.119851,0.572001,12.0948,1.367188e-02,2.929688e-03,1.50602410e-03
0.599254,0.119851,0.611122,11.3099,1.464844e-02,2.929688e-03,1.50602410e-03
0.639205,0.119851,0.650344,10.6197,1.562500e-02,2.929688e-03,1.50602410e-03
0.679155,0.119851,0.689649,10.0080,1.660156e-02,2.929688e-03,1.50602410e-03
0.719105,0.119851,0.729024,9.4623,1.757812e-02,2.929688e-03,1.50602410e-03
0.759055,0.119851,0.768459,8.9726,1.855469e-02,2.929688e-03,1.50602410e-03
-0.759055,0.159801,0.775694,168.1113,-1.855469e-02,3.906250e-03,1.50602410e-03
-0.719105,0.159801,0.736647,167.4712,-1.757812e-02,3.906250e-03,1.50602410e-03
-0.679155,0.159801,0.697702,166.7595,-1.660156e-02,3.906250e-03,1.50602410e-03
-0.639205,0.159801,0.658877,165.9638,-1.562500e-02,3.906250e-03,1.50602410e-03
-0.599254,0.159801,0.620195,165.0686,-1.464844e-02,3.906250e-03,1.50602410e-03
-0.559304,0.159801,0.581685,164.0546,-1.367188e-02,3.906250e-03,1.50602410e-03
0.559304,0.159801,0.581685,15.9454,1.367188e-02,3.906250e-03,1.50602410e-03
0.599254,0.159801,0.620195,14.9314,1.464844e-02,3.906250e-03,1.50602410e-03
0.639205,0.159801,0.658877,14.0362,1.562500e-02,3.906250e-03,1.50602410e-03
0.679155,0.159801,0.697702,13.2405,1.660156e-02,3.906250e-03,1.50602410e-03
0.719105,0.159801,0.736647,12.5288,1.757812e-02,3.906250e-03,1.50602410e-03
0.759055,0.159801,0.775694,11.8887,1.855469e-02,3.906250e-03,1.50602410e-03
-0.759055,0.199751,0.784899,165.2564,-1.855469e-02,4.882812e-03,1.50602410e-03
-0.719105,0.199751,0.746333,164.4759,-1.757812e-02,4.882812e-03,1.50602410e-03
-0.679155,0.199751,0.707921,163.6105,-1.660156e-02,4.882812e-03,1.50602410e-03
-0.639205,0.199751,0.669689,162.6460,-1.562500e-02,4.882812e-03,1.50602410e-03
-0.599254,0.199751,0.631669,161.5651,-1.464844e-02,4.882812e-03,1.50602410e-03
-0.559304,0.199751,0.593904,160.3462,-1.367188e-02,4.882812e-03,1.50602410e-03
-0.519354,0.199751,0.556443,158.9625,-1.269531e-02,4.882812e-03,1.50602410e-03
0.519354,0.199751,0.556443,21.0375,1.269531e-02,4.882812e-03,1.50602410e-03
0.559304,0.199751,0.593904,19.6538,1.367188e-02,4.882812e-03,1.50602410e-03
0.599254,0.199751,0.631669,18.4349,1.464844e-02,4.882812e-03,1.50602410e-03
0.639205,0.199751,0.669689,17.3540,1.562500e-02,4.882812e-03,1.50602410e-03
0.679155,0.199751,0.707921,16.3895,1.660156e-02,4.882812e-03,1.50602410e-03
0.719105,0.199751,0.746333,15.5241,1.757812e-02,4.882812e-03,1.50602410e-03
0.759055,0.199751,0.784899,14.7436,1.855469e-02,4.882812e-03,1.50602410e-03
-0.759055,0.239702,0.796004,162.4744,-1.855469e-02,5.859375e-03,1.50602410e-03
-0.719105,0.239702,0.758003,161.5651,-1.757812e-02,5.859375e-03,1.50602410e-03
-0.679155,0.239702,0.720214,160.5600,-1.660156e-02,5.859375e-03,1.50602410e-03
-0.639205,0.239702,0.682671,159.4440,-1.562500e-02,5.859375e-03,1.50602410e-03
-0.599254,0.239702,0.645417,158.1986,-1.464844e-02,5.859375e-03,1.50602410e-03
-0.559304,0.239702,0.608505,156.8014,-1.367188e-02,5.859375e-03,1.50602410e-03
-0.519354,0.239702,0.572001,155.2249,-1.269531e-02,5.859375e-03,1.50602410e-03
0.519354,0.239702,0.572001,24.7751,1.269531e-02,5.859375e-03,1.50602410e-03
0.559304,0.239702,0.608505,23.1986,1.367188e-02,5.859375e-03,1.50602410e-03
0.599254,0.239702,0.645417,21.8014,1.464844e-02,5.859375e-03,1.50602410e-03
0.639205,0.239702,0.682671,20.5560,1.562500e-02,5.859375e-03,1.50602410e-03
0.679155,0.239702,0.720214,19.4400,1.660156e-02,5.859375e-03,1.50602410e-03
0.719105,0.239702,0.758003,18.4349,1.757812e-02,5.859375e-03,1.50602410e-03
0.759055,0.239702,0.796004,17.5256,1.855469e-02,5.859375e-03,1.50602410e-03
-0.719105,0.279652,0.771568,158.7495,-1.757812e-02,6.835938e-03,1.50602410e-03
-0.679155,0.279652,0.734477,157.6199,-1.660156e-02,6.835938e-03,1.50602410e-03
-0.639205,0.279652,0.697702,156.3706,-1.562500e-02,6.835938e-03,1.50602410e-03
-0.599254,0.279652,0.661295,154.9831,-1.464844e-02,6.835938e-03,1.50602410e-03
-0.559304,0.279652,0.625321,153.4349,-1.367188e-02,6.835938e-03,1.50602410e-03
-0.519354,0.279652,0.589859,151.6992,-1.269531e-02,6.835938e-03,1.50602410e-03
-0.479403,0.279652,0.555007,149.7436,-1.171875e-02,6.835938e-03,1.50602410e-03
0.479403,0.279652,0.555007,30.2564,1.171875e-02,6.835938e-03,1.50602410e-03
0.519354,0.279652,0.589859,28.3008,1.269531e-02,6.835938e-03,1.50602410e-03
0.559304,0.279652,0.625321,26.5651,1.367188e-02,6.835938e-03,1.50602410e-03
0.599254,0.279652,0.661295,25.0169,1.464844e-02,6.835938e-03,1.50602410e-03
0.639205,0.279652,0.697702,23.6294,1.562500e-02,6.835938e-03,1.50602410e-03
0.679155,0.279652,0.734477,22.3801,1.660156e-02,6.835938e-03,1.50602410e-03
0.719105,0.279652,0.771568,21.2505,1.757812e-02,6.835938e-03,1.50602410e-03
-0.719105,0.319602,0.786929,156.0375,-1.757812e-02,7.812500e-03,1.50602410e-03
-0.679155,0.319602,0.750598,154.7989,-1.660156e-02,7.812500e-03,1.50602410e-03
-0.639205,0.319602,0.714652,153.4349,-1.562500e-02,7.812500e-03,1.50602410e-03
-0.599254,0.319602,0.679155,151.9275,-1.464844e-02,7.812500e-03,1.50602410e-03
-0.559304,0.319602,0.644179,150.2551,-1.367188e-02,7.812500e-03,1.50602410e-03
-0.519354,0.319602,0.609815,148.3925,-1.269531e-02,7.812500e-03,1.50602410e-03
-0.479403,0.319602,0.576171,146.3099,-1.171875e-02,7.812500e-03,1.50602410e-03
0.479403,0.319602,0.576171,33.6901,1.171875e-02,7.812500e-03,1.50602410e-03
0.519354,0.319602,0.609815,31.6075,1.269531e-02,7.812500e-03,1.50602410e-03
0.559304,0.319602,0.644179,29.7449,1.367188e-02,7.812500e-03,1.50602410e-03
0.599254,0.319602,0.679155,28.0725,1.464844e-02,7.812500e-03,1.50602410e-03
0.639205,0.319602,0.714652,26.5651,1.562500e-02,7.812500e-03,1.50602410e-03
0.679155,0.319602,0.750598,25.2011,1.660156e-02,7.812500e-03,1.50602410e-03
0.719105,0.319602,0.786929,23.9625,1.757812e-02,7.812500e-03,1.50602410e-03
-0.679155,0.359553,0.768459,152.1027,-1.660156e-02,8.789062e-03,1.50602410e-03
-0.639205,0.359553,0.733390,150.6422,-1.562500e-02,8.789062e-03,1.50602410e-03
-0.599254,0.359553,0.698845,149.0362,-1.464844e-02,8.789062e-03,1.50602410e-03
-0.559304,0.359553,0.664905,147.2648,-1.367188e-02,8.789062e-03,1.50602410e-03
-0.519354,0.359553,0.631669,145.3048,-1.269531e-02,8.789062e-03,1.50602410e-03
-0.479403,0.359553,0.599254,143.1301,-1.171875e-02,8.789062e-03,1.50602410e-03
-0.439453,0.359553,0.567800,140.7106,-1.074219e-02,8.789062e-03,1.50602410e-03
0.439453,0.359553,0.567800,39.2894,1.074219e-02,8.789062e-03,1.50602410e-03
0.479403,0.359553,0.599254,36.8699,1.171875e-02,8.789062e-03,1.50602410e-03
0.519354,0.359553,0.631669,34.6952,1.269531e-02,8.789062e-03,1.50602410e-03
0.559304,0.359553,0.664905,32.7352,1.367188e-02,8.789062e-03,1.50602410e-03
0.599254,0.359553,0.698845,30.9638,1.464844e-02,8.789062e-03,1.50602410e-03
0.639205,0.359553,0.733390,29.3578,1.562500e-02,8.789062e-03,1.50602410e-03
0.679155,0.359553,0.768459,27.8973,1.660156e-02,8.789062e-03,1.50602410e-03
-0.679155,0.399503,0.787943,149.5345,-1.660156e-02,9.765625e-03,1.50602410e-03
-0.639205,0.399503,0.753780,147.9946,-1.562500e-02,9.765625e-03,1.50602410e-03
-0.599254,0.399503,0.720214,146.3099,-1.464844e-02,9.765625e-03,1.50602410e-03
-0.559304,0.399503,0.687331,144.4623,-1.367188e-02,9.765625e-03,1.50602410e-03
-0.519354,0.399503,0.655233,142.4314,-1.269531e-02,9.765625e-03,1.50602410e-03
-0.479403,0.399503,0.624043,140.1944,-1.171875e-02,9.765625e-03,1.50602410e-03
-0.439453,0.399503,0.593904,137.7263,-1.074219e-02,9.765625e-03,1.50602410e-03
-0.399503,0.399503,0.564982,135.0000,-9.765625e-03,9.765625e-03,1.50602410e-03
0.399503,0.399503,0.564982,45.0000,9.765625e-03,9.765625e-03,1.50602410e-03
0.439453,0.399503,0.593904,42.2737,1.074219e-02,9.765625e-03,1.50602410e-03
0.479403,0.399503,0.624043,39.8056,1.171875e-02,9.765625e-03,1.50602410e-03
0.519354,0.399503,0.655233,37.5686,1.269531e-02,9.765625e-03,1.50602410e-03
0.559304,0.399503,0.687331,35.5377,1.367188e-02,9.765625e-03,1.50602410e-03
0.599254,0.399503,0.720214,33.6901,1.464844e-02,9.765625e-03,1.50602410e-03
0.639205,0.399503,0.753780,32.0054,1.562500e-02,9.765625e-03,1.50602410e-03
0.679155,0.399503,0.787943,30.4655,1.660156e-02,9.765625e-03,1.50602410e-03
-0.639205,0.439453,0.775694,145.4915,-1.562500e-02,1.074219e-02,1.50602410e-03
-0.599254,0.439453,0.743118,143.7462,-1.464844e-02,1.074219e-02,1.50602410e-03
-0.559304,0.439453,0.711295,141.8428,-1.367188e-02,1.074219e-02,1.50602410e-03
-0.519354,0.439453,0.680329,139.7636,-1.269531e-02,1.074219e-02,1.50602410e-03
-0.479403,0.439453,0.650344,137.4896,-1.171875e-02,1.074219e-02,1.50602410e-03
-0.439453,0.439453,0.621481,135.0000,-1.074219e-02,1.074219e-02,1.50602410e-03
-0.399503,0.439453,0.593904,132.2737,-9.765625e-03,1.074219e-02,1.50602410e-03
-0.359553,0.439453,0.567800,129.2894,-8.789062e-03,1.074219e-02,1.50602410e-03
0.359553,0.439453,0.567800,50.7106,8.789062e-03,1.074219e-02,1.50602410e-03
0.399503,0.439453,0.593904,47.7263,9.765625e-03,1.074219e-02,1.50602410e-03
0.439453,0.439453,0.621481,45.0000,1.074219e-02,1.074219e-02,1.50602410e-03
0.479403,0.439453,0.650344,42.5104,1.171875e-02,1.074219e-02,1.50602410e-03
0.519354,0.439453,0.680329,40.2364,1.269531e-02,1.074219e-02,1.50602410e-03
0.559304,0.439453,0.711295,38.1572,1.367188e-02,1.074219e-02,1.50602410e-03
0.599254,0.439453,0.743118,36.2538,1.464844e-02,1.074219e-02,1.50602410e-03
0.639205,0.439453,0.775694,34.5085,1.562500e-02,1.074219e-02,1.50602410e-03
-0.639205,0.479403,0.799006,143.1301,-1.562500e-02,1.171875e-02,1.50602410e-03
-0.599254,0.479403,0.767420,141.3402,-1.464844e-02,1.171875e-02,1.50602410e-03
-0.559304,0.479403,0.736647,139.3987,-1.367188e-02,1.171875e-02,1.50602410e-03
-0.519354,0.479403,0.706793,137.2906,-1.269531e-02,1.171875e-02,1.50602410e-03
-0.479403,0.479403,0.677979,135.0000,-1.171875e-02,1.171875e-02,1.50602410e-03
-0.439453,0.479403,0.650344,132.5104,-1.074219e-02,1.171875e-02,1.50602410e-03
-0.399503,0.479403,0.624043,129.8056,-9.765625e-03,1.171875e-02,1.50602410e-03
-0.359553,0.479403,0.599254,126.8699,-8.789062e-03,1.171875e-02,1.50602410e-03
-0.319602,0.479403,0.576171,123.6901,-7.812500e-03,1.171875e-02,1.50602410e-03
-0.279652,0.479403,0.555007,120.2564,-6.835938e-03,1.171875e-02,1.50602410e-03
0.279652,0.479403,0.555007,59.7436,6.835938e-03,1.171875e-02,1.50602410e-03
0.319602,0.479403,0.576171,56.3099,7.812500e-03,1.171875e-02,1.50602410e-03
0.359553,0.479403,0.599254,53.1301,8.789062e-03,1.171875e-02,1.50602410e-03
0.399503,0.479403,0.624043,50.1944,9.765625e-03,1.171875e-02,1.50602410e-03
0.439453,0.479403,0.650344,47.4896,1.074219e-02,1.171875e-02,1.50602410e-03
0.479403,0.479403,0.677979,45.0000,1.171875e-02,1.171875e-02,1.50602410e-03
0.519354,0.479403,0.706793,42.7094,1.269531e-02,1.171875e-02,1.50602410e-03
0.559304,0.479403,0.736647,40.6013,1.367188e-02,1.171875e-02,1.50602410e-03
0.599254,0.479403,0.767420,38.6598,1.464844e-02,1.171875e-02,1.50602410e-03
0.639205,0.479403,0.799006,36.8699,1.562500e-02,1.171875e-02,1.50602410e-03
-0.599254,0.519354,0.792990,139.0856,-1.464844e-02,1.269531e-02,1.50602410e-03
-0.559304,0.519354,0.763249,137.1211,-1.367188e-02,1.269531e-02,1.50602410e-03
-0.519354,0.519354,0.734477,135.0000,-1.269531e-02,1.269531e-02,1.50602410e-03
-0.479403,0.519354,0.706793,132.7094,-1.171875e-02,1.269531e-02,1.50602410e-03
-0.439453,0.519354,0.680329,130.2364,-1.074219e-02,1.269531e-02,1.50602410e-03
-0.399503,0.519354,0.655233,127.5686,-9.765625e-03,1.269531e-02,1.50602410e-03
-0.359553,0.519354,0.631669,124.6952,-8.789062e-03,1.269531e-02,1.50602410e-03
-0.319602,0.519354,0.609815,121.6075,-7.812500e-03,1.269531e-02,1.50602410e-03
-0.279652,0.519354,0.589859,118.3008,-6.835938e-03,1.269531e-02,1.50602410e-03
-0.239702,0.519354,0.572001,114.7751,-5.859375e-03,1.269531e-02,1.50602410e-03
-0.199751,0.519354,0.556443,111.0375,-4.882812e-03,1.269531e-02,1.50602410e-03
0.199751,0.519354,0.556443,68.9625,4.882812e-03,1.269531e-02,1.50602410e-03
0.239702,0.519354,0.572001,65.2249,5.859375e-03,1.269531e-02,1.50602410e-03
0.279652,0.519354,0.589859,61.6992,6.835938e-03,1.269531e-02,1.50602410e-03
0.319602,0.519354,0.609815,58.3925,7.812500e-03,1.269531e-02,1.50602410e-03
0.359553,0.519354,0.631669,55.3048,8.789062e-03,1.269531e-02,1.50602410e-03
0.399503,0.519354,0.655233,52.4314,9.765625e-03,1.269531e-02,1.50602410e-03
0.439453,0.519354,0.680329,49.7636,1.074219e-02,1.269531e-02,1.50602410e-03
0.479403,0.519354,0.706793,47.2906,1.171875e-02,1.269531e-02,1.50602410e-03
0.519354,0.519354,0.734477,45.0000,1.269531e-02,1.269531e-02,1.50602410e-03
0.559304,0.519354,0.763249,42.8789,1.367188e-02,1.269531e-02,1.50602410e-03
0.599254,0.519354,0.792990,40.9144,1.464844e-02,1.269531e-02,1.50602410e-03
-0.559304,0.559304,0.790975,135.0000,-1.367188e-02,1.367188e-02,1.50602410e-03
-0.519354,0.559304,0.763249,132.8789,-1.269531e-02,1.367188e-02,1.50602410e-03
-0.479403,0.559304,0.736647,130.6013,-1.171875e-02,1.367188e-02,1.50602410e-03
-0.439453,0.559304,0.711295,128.1572,-1.074219e-02,1.367188e-02,1.50602410e-03
-0.399503,0.559304,0.687331,125.5377,-9.765625e-03,1.367188e-02,1.50602410e-03
-0.359553,0.559304,0.664905,122.7352,-8.789062e-03,1.367188e-02,1.50602410e-03
-0.319602,0.559304,0.644179,119.7449,-7.812500e-03,1.367188e-02,1.50602410e-03
-0.279652,0.559304,0.625321,116.5651,-6.835938e-03,1.367188e-02,1.50602410e-03
-0.239702,0.559304,0.608505,113.1986,-5.859375e-03,1.367188e-02,1.50602410e-03
-0.199751,0.559304,0.593904,109.6538,-4.882812e-03,1.367188e-02,1.50602410e-03
-0.159801,0.559304,0.581685,105.9454,-3.906250e-03,1.367188e-02,1.50602410e-03
-0.119851,0.559304,0.572001,102.0948,-2.929688e-03,1.367188e-02,1.50602410e-03
-0.079901,0.559304,0.564982,98.1301,-1.953125e-03,1.367188e-02,1.50602410e-03
-0.039950,0.559304,0.560729,94.0856,-9.765625e-04,1.367188e-02,1.50602410e-03
0.000000,0.559304,0.559304,90.0000,0.000000e+00,1.367188e-02,1.50602410e-03
0.039950,0.559304,0.560729,85.9144,9.765625e-04,1.367188e-02,1.50602410e-03
0.079901,0.559304,0.564982,81.8699,1.953125e-03,1.367188e-02,1.50602410e-03
0.119851,0.559304,0.572001,77.9052,2.929688e-03,1.367188e-02,1.50602410e-03
0.159801,0.559304,0.581685,74.0546,3.906250e-03,1.367188e-02,1.50602410e-03
0.199751,0.559304,0.593904,70.3462,4.882812e-03,1.367188e-02,1.50602410e-03
0.239702,0.559304,0.608505,66.8014,5.859375e-03,1.367188e-02,1.50602410e-03
0.279652,0.559304,0.625321,63.4349,6.835938e-03,1.367188e-02,1.50602410e-03
0.319602,0.559304,0.644179,60.2551,7.812500e-03,1.367188e-02,1.50602410e-03
0.359553,0.559304,0.664905,57.2648,8.789062e-03,1.367188e-02,1.50602410e-03
0.399503,0.559304,0.687331,54.4623,9.765625e-03,1.367188e-02,1.50602410e-03
0.439453,0.559304,0.711295,51.8428,1.074219e-02,1.367188e-02,1.50602410e-03
0.479403,0.559304,0.736647,49.3987,1.171875e-02,1.367188e-02,1.50602410e-03
0.519354,0.559304,0.763249,47.1211,1.269531e-02,1.367188e-02,1.50602410e-03
0.559304,0.559304,0.790975,45.0000,1.367188e-02,1.367188e-02,1.50602410e-03
-0.519354,0.599254,0.792990,130.9144,-1.269531e-02,1.464844e-02,1.50602410e-03
-0.479403,0.599254,0.767420,128.6598,-1.171875e-02,1.464844e-02,1.50602410e-03
-0.439453,0.599254,0.743118,126.2538,-1.074219e-02,1.464844e-02,1.50602410e-03
-0.399503,0.599254,0.720214,123.6901,-9.765625e-03,1.464844e-02,1.50602410e-03
-0.359553,0.599254,0.698845,120.9638,-8.789062e-03,1.464844e-02,1.50602410e-03
-0.319602,0.599254,0.679155,118.0725,-7.812500e-03,1.464844e-02,1.50602410e-03
-0.279652,0.599254,0.661295,115.0169,-6.835938e-03,1.464844e-02,1.50602410e-03
-0.239702,0.599254,0.645417,111.8014,-5.859375e-03,1.464844e-02,1.50602410e-03
-0.199751,0.599254,0.631669,108.4349,-4.882812e-03,1.464844e-02,1.50602410e-03
-0.159801,0.599254,0.620195,104.9314,-3.906250e-03,1.464844e-02,1.50602410e-03
-0.119851,0.599254,0.611122,101.3099,-2.929688e-03,1.464844e-02,1.50602410e-03
-0.079901,0.599254,0.604557,97.5946,-1.953125e-03,1.464844e-02,1.50602410e-03
-0.039950,0.599254,0.600584,93.8141,-9.765625e-04,1.464844e-02,1.50602410e-03
0.000000,0.599254,0.599254,90.0000,0.000000e+00,1.464844e-02,1.50602410e-03
0.039950,0.599254,0.600584,86.1859,9.765625e-04,1.464844e-02,1.50602410e-03
0.079901,0.599254,0.604557,82.4054,1.953125e-03,1.464844e-02,1.50602410e-03
0.119851,0.599254,0.611122,78.6901,2.929688e-03,1.464844e-02,1.50602410e-03
0.159801,0.599254,0.620195,75.0686,3.906250e-03,1.464844e-02,1.50602410e-03
0.199751,0.599254,0.631669,71.5651,4.882812e-03,1.464844e-02,1.50602410e-03
0.239702,0.599254,0.645417,68.1986,5.859375e-03,1.464844e-02,1.50602410e-03
0.279652,0.599254,0.661295,64.9831,6.835938e-03,1.464844e-02,1.50602410e-03
0.319602,0.599254,0.679155,61.9275,7.812500e-03,1.464844e-02,1.50602410e-03
0.359553,0.599254,0.698845,59.0362,8.789062e-03,1.464844e-02,1.50602410e-03
0.399503,0.599254,0.720214,56.3099,9.765625e-03,1.464844e-02,1.50602410e-03
0.439453,0.599254,0.743118,53.7462,1.074219e-02,1.464844e-02,1.50602410e-03
0.479403,0.599254,0.767420,51.3402,1.171875e-02,1.464844e-02,1.50602410e-03
0.519354,0.599254,0.792990,49.0856,1.269531e-02,1.464844e-02,1.50602410e-03
-0.479403,0.639205,0.799006,126.8699,-1.171875e-02,1.562500e-02,1.50602410e-03
-0.439453,0.639205,0.775694,124.5085,-1.074219e-02,1.562500e-02,1.50602410e-03
-0.399503,0.639205,0.753780,122.0054,-9.765625e-03,1.562500e-02,1.50602410e-03
-0.359553,0.639205,0.733390,119.3578,-8.789062e-03,1.562500e-02,1.50602410e-03
-0.319602,0.639205,0.714652,116.5651,-7.812500e-03,1.562500e-02,1.50602410e-03
-0.279652,0.639205,0.697702,113.6294,-6.835938e-03,1.562500e-02,1.50602410e-03
-0.239702,0.639205,0.682671,110.5560,-5.859375e-03,1.562500e-02,1.50602410e-03
-0.199751,0.639205,0.669689,107.3540,-4.882812e-03,1.562500e-02,1.50602410e-03
-0.159801,0.639205,0.658877,104.0362,-3.906250e-03,1.562500e-02,1.50602410e-03
-0.119851,0.639205,0.650344,100.6197,-2.929688e-03,1.562500e-02,1.50602410e-03
-0.079901,0.639205,0.644179,97.1250,-1.953125e-03,1.562500e-02,1.50602410e-03
-0.039950,0.639205,0.640452,93.5763,-9.765625e-04,1.562500e-02,1.50602410e-03
0.000000,0.639205,0.639205,90.0000,0.000000e+00,1.562500e-02,1.50602410e-03
0.039950,0.639205,0.640452,86.4237,9.765625e-04,1.562500e-02,1.50602410e-03
0.079901,0.639205,0.644179,82.8750,1.953125e-03,1.562500e-02,1.50602410e-03
0.119851,0.639205,0.650344,79.3803,2.929688e-03,1.562500e-02,1.50602410e-03
0.159801,0.639205,0.658877,75.9638,3.906250e-03,1.562500e-02,1.50602410e-03
0.199751,0.639205,0.669689,72.6460,4.882812e-03,1.562500e-02,1.50602410e-03
0.239702,0.639205,0.682671,69.4440,5.859375e-03,1.562500e-02,1.50602410e-03
0.279652,0.639205,0.697702,66.3706,6.835938e-03,1.562500e-02,1.50602410e-03
0.319602,0.639205,0.714652,63.4349,7.812500e-03,1.562500e-02,1.50602410e-03
0.359553,0.639205,0.733390,60.6422,8.789062e-03,1.562500e-02,1.50602410e-03
0.399503,0.639205,0.753780,57.9946,9.765625e-03,1.562500e-02,1.50602410e-03
0.439453,0.639205,0.775694,55.4915,1.074219e-02,1.562500e-02,1.50602410e-03
